排名,球员姓名,球队,比赛场次,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中数,三分命中率%,罚球命中率
1,谢伊 吉尔杰斯-亚历山大,雷霆,76,34.2,32.7,5,6.4,1.7,1,51.9%,163,37.5%,89.8%
2,扬尼斯 安特托昆博,雄鹿,67,34.2,30.4,11.9,6.5,0.9,1.2,60.1%,14,22.2%,61.7%
3,尼古拉 约基奇,掘金,70,36.7,29.6,12.7,10.2,1.8,0.6,57.6%,138,41.7%,80%
4,卢卡 东契奇,独行侠,28,35.1,28.2,8.1,7.5,1.6,0.4,43.8%,102,37.9%,79.1%
5,卢卡 东契奇,独行侠,22,35.7,28.1,8.3,7.8,2,0.4,46.4%,75,35.4%,76.7%
6,安东尼 爱德华兹,森林狼,79,36.3,27.6,5.7,4.5,1.2,0.6,44.7%,320,39.5%,83.7%
7,杰森 塔图姆,凯尔特人,72,36.4,26.8,8.7,6,1.1,0.5,45.2%,250,34.3%,81.4%
8,凯文 杜兰特,太阳,62,36.5,26.6,6,4.2,0.8,1.2,52.7%,160,43%,83.9%
9,泰雷塞 马克西,76人,52,37.7,26.3,3.3,6.1,1.8,0.4,43.7%,161,33.7%,87.9%
10,凯德 坎宁安,活塞,70,35,26.1,6.1,9.1,1,0.8,46.9%,149,35.6%,84.6%
11,杰伦 布伦森,尼克斯,65,35.4,26,2.9,7.3,0.9,0.1,48.7%,152,38.3%,82.1%
12,保罗 班凯罗,魔术,46,34.4,25.9,7.5,4.8,0.8,0.6,45.2%,87,32%,72.7%
13,安东尼 戴维斯,独行侠,42,34.3,25.7,11.9,3.4,1.3,2.1,52.8%,28,29.8%,78.8%
14,德文 布克,太阳,75,37.3,25.6,4.1,7.1,0.9,0.2,46.1%,183,33.2%,89.4%
15,拉梅洛 鲍尔,黄蜂,47,32,25.2,4.9,7.4,1.1,0.3,40.5%,179,33.9%,84.3%
16,达龙 福克斯,国王,45,37,25,5,6.1,1.5,0.4,46.9%,92,32.2%,82.9%
17,达米安 利拉德,雄鹿,58,36.1,24.9,4.7,7.1,1.2,0.2,44.8%,197,37.6%,92.1%
18,凯里 欧文,独行侠,50,36.1,24.7,4.8,4.6,1.3,0.5,47.3%,144,40.1%,91.6%
19,锡安 威廉姆森,鹈鹕,30,28.6,24.6,7.2,5.3,1.2,0.9,56.7%,3,23.1%,65.6%
20,斯蒂芬 库里,勇士,70,32.2,24.5,4.4,6,1.1,0.4,44.8%,311,39.7%,93.3%
21,卡尔-安东尼 唐斯,森林狼,72,35,24.4,12.8,3.1,1,0.7,52.6%,142,42%,82.9%
22,勒布朗 詹姆斯,湖人,70,34.9,24.4,7.8,8.2,1,0.6,51.3%,149,37.6%,78.2%
23,维克托 文班亚马,马刺,46,33.2,24.3,11,3.7,1.1,3.8,47.6%,142,35.2%,83.6%
24,弗朗茨 瓦格纳,魔术,60,33.7,24.2,5.7,4.7,1.3,0.4,46.3%,104,29.5%,87.1%
25,特雷 杨,老鹰,76,36,24.2,3.1,11.6,1.2,0.2,41.1%,218,34%,87.5%
26,多诺万 米切尔,骑士,71,31.4,24,4.5,5,1.3,0.2,44.3%,233,36.8%,82.3%
27,扎克 拉文,公牛,42,34.1,24,4.8,4.5,0.9,0.2,51.1%,136,44.6%,79.7%
28,卡姆 托马斯,篮网,25,31.2,24,3.3,3.8,0.6,0.1,43.8%,68,34.9%,88.1%
29,泰勒 希罗,热火,77,35.4,23.9,5.2,5.5,0.9,0.2,47.2%,251,37.5%,87.8%
30,乔尔 恩比德,76人,19,30.2,23.8,8.2,4.5,0.7,0.9,44.4%,23,29.9%,88.2%
31,贾 莫兰特,灰熊,50,30.4,23.2,4.1,7.3,1.2,0.2,45.4%,88,30.9%,82.4%
32,詹姆斯 哈登,快船,79,35.3,22.8,5.8,8.7,1.5,0.7,41%,235,35.2%,87.4%
33,扎克 拉文,公牛,32,36.6,22.4,3.5,3.8,0.6,0.1,51.1%,103,44.6%,87.4%
34,德马尔 德罗赞,国王,77,35.9,22.2,3.9,4.4,0.8,0.4,47.7%,84,32.8%,85.7%
35,布兰登 英格拉姆,鹈鹕,18,33.1,22.2,5.6,5.2,0.9,0.6,46.5%,43,37.4%,85.5%
36,杰伦 布朗,凯尔特人,63,34.3,22.2,5.8,4.5,1.2,0.3,46.3%,116,32.4%,76.4%
37,贾伦 杰克逊,灰熊,74,29.8,22.2,5.6,2,1.2,1.5,48.8%,146,37.5%,78.1%
38,昆廷 格里姆斯,独行侠,28,33.7,21.9,5.2,4.5,1.5,0.4,46.9%,82,37.3%,75.2%
39,诺曼 鲍威尔,快船,60,32.6,21.8,3.2,2.1,1.2,0.2,48.4%,179,41.8%,80.4%
40,杰伦 威廉姆斯,雷霆,69,32.4,21.6,5.3,5.1,1.6,0.7,48.4%,124,36.5%,78.9%
41,科怀 伦纳德,快船,37,31.9,21.5,5.9,3.1,1.6,0.5,49.8%,78,41.1%,81%
42,贾马尔 穆雷,掘金,67,36.1,21.4,3.9,6,1.4,0.5,47.4%,156,39.3%,88.6%
43,特雷 墨菲三世,鹈鹕,53,35,21.2,5.1,3.5,1.1,0.7,45.4%,158,36.1%,88.7%
44,CJ 麦科勒姆,鹈鹕,56,32.7,21.1,3.8,4.1,0.8,0.4,44.4%,171,37.3%,71.7%
45,RJ 巴雷特,猛龙,58,32.2,21.1,6.3,5.4,0.8,0.3,46.8%,107,35%,63%
46,布兰登 米勒,黄蜂,27,34.2,21,4.9,3.6,1.1,0.7,40.3%,104,35.5%,86.1%
47,杰伦 格林,火箭,82,32.9,21,4.6,3.4,0.9,0.3,42.3%,234,35.4%,81.3%
48,达柳斯 加兰,骑士,75,30.7,20.6,2.9,6.7,1.2,0.1,47.2%,212,40.1%,87.8%
49,乔丹 普尔,奇才,68,29.4,20.5,3,4.5,1.3,0.4,43.2%,235,37.8%,88.3%
50,科比 怀特,公牛,74,33.1,20.4,3.7,4.5,0.9,0.2,45.3%,216,37%,90.2%
51,迈尔斯 布里奇斯,黄蜂,64,31.7,20.3,7.5,3.9,0.7,0.7,43.1%,141,31.3%,87%
